,Classifier,F2-Score,BestParameters,FeatureNumber,Normalized,PCA,PCAComponents
0,Naive Bayes,0.337995337995338,{},4,False,True,1
1,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",4,True,True,1
2,Decission Tree,0.2630702630702631,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1}",4,False,True,1
3,AdaBoost,0.30888342426803966,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 1}",4,False,True,1
4,Random Forest,0.32293464111645925,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 1}",4,False,True,1
5,k-Nearest Neighbors,0.3764568764568765,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",4,True,True,1
6,Naive Bayes,0.38111888111888115,{},4,False,True,2
7,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",4,True,True,2
8,Decission Tree,0.5454545454545454,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1}",4,False,True,2
9,AdaBoost,0.4612054612054613,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'best', 'n_estimators': 1}",4,False,True,2
10,Random Forest,0.36268277177368086,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 50}",4,False,True,2
11,k-Nearest Neighbors,0.17959313413858868,"{'metric': 'cityblock', 'n_neighbors': 1, 'weights': 'uniform'}",4,True,True,2
12,Naive Bayes,0.37529137529137535,{},4,False,True,3
13,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",4,True,True,3
14,Decission Tree,0.5617715617715618,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1}",4,False,True,3
15,AdaBoost,0.40112665112665113,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 1}",4,False,True,3
16,Random Forest,0.3384721339266794,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 1}",4,False,True,3
17,k-Nearest Neighbors,0.3181818181818182,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",4,True,True,3
18,Naive Bayes,0.38111888111888115,{},4,False,False,1
19,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",4,True,False,1
20,Decission Tree,0.45802682166318537,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1}",4,False,False,1
21,AdaBoost,0.4079102715466352,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'best', 'n_estimators': 1}",4,False,False,1
22,Random Forest,0.40404040404040403,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 5}",4,False,False,1
23,k-Nearest Neighbors,0.35742035742035744,"{'metric': 'cityblock', 'n_neighbors': 3, 'weights': 'uniform'}",4,True,False,1
24,Naive Bayes,0.38111888111888115,{},4,False,False,2
25,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",4,True,False,2
26,Decission Tree,0.47540338449429365,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1}",4,False,False,2
27,AdaBoost,0.39604335058880513,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'best', 'n_estimators': 1}",4,False,False,2
28,Random Forest,0.41268657527398783,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 1}",4,False,False,2
29,k-Nearest Neighbors,0.35742035742035744,"{'metric': 'cityblock', 'n_neighbors': 3, 'weights': 'uniform'}",4,True,False,2
30,Naive Bayes,0.38111888111888115,{},4,False,False,3
31,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",4,True,False,3
32,Decission Tree,0.45802682166318537,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1}",4,False,False,3
33,AdaBoost,0.4172342808706445,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 1}",4,False,False,3
34,Random Forest,0.3434343434343435,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 1}",4,False,False,3
35,k-Nearest Neighbors,0.35742035742035744,"{'metric': 'cityblock', 'n_neighbors': 3, 'weights': 'uniform'}",4,True,False,3
36,Naive Bayes,0.337995337995338,{},5,False,True,1
37,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",5,True,True,1
38,Decission Tree,0.3794059475877658,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 3}",5,False,True,1
39,AdaBoost,0.2630702630702631,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'best', 'n_estimators': 1}",5,False,True,1
40,Random Forest,0.3228438228438229,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 1}",5,False,True,1
41,k-Nearest Neighbors,0.1883343928798474,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",5,True,True,1
42,Naive Bayes,0.37529137529137535,{},5,False,True,2
43,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",5,True,True,2
44,Decission Tree,0.3433745741438049,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5}",5,False,True,2
45,AdaBoost,0.35109412731790357,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 1}",5,False,True,2
