,date,temp,count
0,1965-01-01,13.91,13
1,1965-02-01,13.83,54
2,1965-03-01,13.89,38
3,1965-04-01,13.81,33
4,1965-05-01,13.86,22
5,1965-06-01,13.92,32
6,1965-07-01,13.88,21
7,1965-08-01,13.99,34
8,1965-09-01,13.85,28
9,1965-10-01,13.96,17
10,1965-11-01,13.94,27
11,1965-12-01,13.95,20
12,1966-01-01,13.84,12
13,1966-02-01,14.0,27
14,1966-03-01,14.04,23
15,1966-04-01,13.87,21
16,1966-05-01,13.9,22
17,1966-06-01,14.01,27
18,1966-07-01,14.08,12
19,1966-08-01,13.9,35
20,1966-09-01,13.99,12
21,1966-10-01,13.85,13
22,1966-11-01,13.98,13
23,1966-12-01,13.94,17
24,1967-01-01,13.94,36
25,1967-02-01,13.8,18
26,1967-03-01,14.04,23
27,1967-04-01,13.95,19
28,1967-05-01,14.14,12
29,1967-06-01,13.91,22
30,1967-07-01,14.01,15
31,1967-08-01,14.02,24
32,1967-09-01,13.96,24
33,1967-10-01,14.06,17
34,1967-11-01,13.94,27
35,1967-12-01,13.98,18
36,1968-01-01,13.77,23
37,1968-02-01,13.85,20
38,1968-03-01,14.2,16
39,1968-04-01,13.95,13
40,1968-05-01,13.9,49
41,1968-06-01,13.94,31
42,1968-07-01,13.89,23
43,1968-08-01,13.89,40
44,1968-09-01,13.82,26
45,1968-10-01,14.12,24
46,1968-11-01,13.96,19
47,1968-12-01,13.86,21
48,1969-01-01,13.89,26
49,1969-02-01,13.86,21
50,1969-03-01,14.0,30
51,1969-04-01,14.19,31
52,1969-05-01,14.2,17
53,1969-06-01,14.05,18
54,1969-07-01,13.99,22
55,1969-08-01,14.03,62
56,1969-09-01,14.1,37
57,1969-10-01,14.11,24
58,1969-11-01,14.11,14
59,1969-12-01,14.27,21
60,1970-01-01,14.09,25
61,1970-02-01,14.22,33
62,1970-03-01,14.07,26
63,1970-04-01,14.09,42
64,1970-05-01,13.95,27
65,1970-06-01,13.97,33
66,1970-07-01,13.96,22
67,1970-08-01,13.89,27
68,1970-09-01,14.11,19
69,1970-10-01,14.05,22
70,1970-11-01,14.01,33
71,1970-12-01,13.87,36
72,1971-01-01,13.97,34
73,1971-02-01,13.79,28
74,1971-03-01,13.82,28
75,1971-04-01,13.91,26
76,1971-05-01,13.94,36
77,1971-06-01,13.82,18
78,1971-07-01,13.88,64
79,1971-08-01,13.96,36
80,1971-09-01,13.99,39
81,1971-10-01,13.94,34
82,1971-11-01,13.96,18
83,1971-12-01,13.92,25
84,1972-01-01,13.76,32
85,1972-02-01,13.83,24
86,1972-03-01,14.02,31
87,1972-04-01,13.99,28
88,1972-05-01,13.97,31
89,1972-06-01,14.04,23
90,1972-07-01,14.02,25
91,1972-08-01,14.18,40
92,1972-09-01,14.03,44
93,1972-10-01,14.09,29
94,1972-11-01,14.03,35
95,1972-12-01,14.18,46
96,1973-01-01,14.28,23
97,1973-02-01,14.3,32
98,1973-03-01,14.25,40
99,1973-04-01,14.25,28
100,1973-05-01,14.25,22
101,1973-06-01,14.15,52
102,1973-07-01,14.09,38
103,1973-08-01,14.02,37
104,1973-09-01,14.06,35
105,1973-10-01,14.12,18
106,1973-11-01,14.06,39
107,1973-12-01,13.94,37
108,1974-01-01,13.85,33
109,1974-02-01,13.72,33
110,1974-03-01,13.95,28
111,1974-04-01,13.9,21
112,1974-05-01,13.99,37
113,1974-06-01,13.95,29
114,1974-07-01,13.97,28
115,1974-08-01,14.11,36
116,1974-09-01,13.88,30
117,1974-10-01,13.93,35
118,1974-11-01,13.93,29
119,1974-12-01,13.91,22
120,1975-01-01,14.07,27
121,1975-02-01,14.07,25
122,1975-03-01,14.13,29
123,1975-04-01,14.06,33
124,1975-05-01,14.16,29
125,1975-06-01,13.98,39
126,1975-07-01,13.97,51
127,1975-08-01,13.8,32
128,1975-09-01,13.97,30
129,1975-10-01,13.91,50
130,1975-11-01,13.84,36
131,1975-12-01,13.83,31
132,1976-01-01,14.0,61
133,1976-02-01,13.94,44
134,1976-03-01,13.79,28
135,1976-04-01,13.9,34
136,1976-05-01,13.77,49
137,1976-06-01,13.85,38
138,1976-07-01,13.88,34
139,1976-08-01,13.82,41
140,1976-09-01,13.91,34
141,1976-10-01,13.74,24
142,1976-11-01,13.94,39
143,1976-12-01,14.09,31
144,1977-01-01,14.18,29
145,1977-02-01,14.2,20
146,1977-03-01,14.25,35
147,1977-04-01,14.27,35
148,1977-05-01,14.3,26
149,1977-06-01,14.25,25
150,1977-07-01,14.23,25
151,1977-08-01,14.19,53
152,1977-09-01,14.02,44
153,1977-10-01,14.04,53
154,1977-11-01,14.2,43
155,1977-12-01,14.04,37
156,1978-01-01,14.08,28
157,1978-02-01,14.14,38
158,1978-03-01,14.2,66
159,1978-04-01,14.15,29
160,1978-05-01,14.07,37
161,1978-06-01,13.97,38
162,1978-07-01,14.07,21
163,1978-08-01,13.83,38
164,1978-09-01,14.05,37
165,1978-10-01,14.0,19
166,1978-11-01,14.16,27
167,1978-12-01,14.11,32
168,1979-01-01,14.14,28
169,1979-02-01,13.91,25
170,1979-03-01,14.19,25
171,1979-04-01,14.12,24
172,1979-05-01,14.05,40
173,1979-06-01,14.14,24
174,1979-07-01,14.02,25
175,1979-08-01,14.14,26
176,1979-09-01,14.27,35
177,1979-10-01,14.25,40
178,1979-11-01,14.29,32
179,1979-12-01,14.47,32
180,1980-01-01,14.3,31
181,1980-02-01,14.42,32
182,1980-03-01,14.29,27
183,1980-04-01,14.31,24
184,1980-05-01,14.34,30
185,1980-06-01,14.16,41
186,1980-07-01,14.28,34
187,1980-08-01,14.24,13
188,1980-09-01,14.21,19
189,1980-10-01,14.2,42
190,1980-11-01,14.3,21
191,1980-12-01,14.21,34
192,1981-01-01,14.56,40
193,1981-02-01,14.41,32
194,1981-03-01,14.48,28
195,1981-04-01,14.31,25
196,1981-05-01,14.24,16
197,1981-06-01,14.3,16
198,1981-07-01,14.35,19
199,1981-08-01,14.35,18
200,1981-09-01,14.17,42
201,1981-10-01,14.13,25
202,1981-11-01,14.21,33
203,1981-12-01,14.4,27
204,1982-01-01,14.09,43
205,1982-02-01,14.14,18
206,1982-03-01,13.99,27
207,1982-04-01,14.09,27
208,1982-05-01,14.16,21
209,1982-06-01,14.05,27
210,1982-07-01,14.13,22
211,1982-08-01,14.08,27
212,1982-09-01,14.15,38
213,1982-10-01,14.13,21
214,1982-11-01,14.14,22
215,1982-12-01,14.42,53
216,1983-01-01,14.52,46
217,1983-02-01,14.4,28
218,1983-03-01,14.42,34
219,1983-04-01,14.3,42
220,1983-05-01,14.35,38
221,1983-06-01,14.17,35
222,1983-07-01,14.15,39
223,1983-08-01,14.3,37
224,1983-09-01,14.38,30
225,1983-10-01,14.14,44
226,1983-11-01,14.3,36
227,1983-12-01,14.17,44
228,1984-01-01,14.3,41
229,1984-02-01,14.17,29
230,1984-03-01,14.28,41
231,1984-04-01,14.08,39
232,1984-05-01,14.33,42
233,1984-06-01,14.04,34
234,1984-07-01,14.16,37
235,1984-08-01,14.15,35
236,1984-09-01,14.19,45
237,1984-10-01,14.14,42
238,1984-11-01,14.04,56
239,1984-12-01,13.94,41
240,1985-01-01,14.21,37
241,1985-02-01,13.93,25
242,1985-03-01,14.17,65
243,1985-04-01,14.11,44
244,1985-05-01,14.17,37
245,1985-06-01,14.17,38
246,1985-07-01,13.99,37
247,1985-08-01,14.14,45
248,1985-09-01,14.14,39
249,1985-10-01,14.11,34
250,1985-11-01,14.09,38
251,1985-12-01,14.15,37
252,1986-01-01,14.29,32
253,1986-02-01,14.39,22
254,1986-03-01,14.29,44
255,1986-04-01,14.26,27
256,1986-05-01,14.26,64
257,1986-06-01,14.12,46
258,1986-07-01,14.13,55
259,1986-08-01,14.12,42
260,1986-09-01,14.02,27
261,1986-10-01,14.14,58
262,1986-11-01,14.11,32
263,1986-12-01,14.16,36
264,1987-01-01,14.36,36
265,1987-02-01,14.45,49
266,1987-03-01,14.16,62
267,1987-04-01,14.24,34
268,1987-05-01,14.25,36
269,1987-06-01,14.36,55
270,1987-07-01,14.45,41
271,1987-08-01,14.27,28
272,1987-09-01,14.39,41
273,1987-10-01,14.31,44
274,1987-11-01,14.24,48
275,1987-12-01,14.47,31
276,1988-01-01,14.56,42
277,1988-02-01,14.41,46
278,1988-03-01,14.49,49
279,1988-04-01,14.45,36
280,1988-05-01,14.44,44
281,1988-06-01,14.42,26
282,1988-07-01,14.35,49
283,1988-08-01,14.46,50
284,1988-09-01,14.41,32
285,1988-10-01,14.39,29
286,1988-11-01,14.13,52
287,1988-12-01,14.34,34
288,1989-01-01,14.15,33
289,1989-02-01,14.35,47
290,1989-03-01,14.36,26
291,1989-04-01,14.33,45
292,1989-05-01,14.17,56
293,1989-06-01,14.14,31
294,1989-07-01,14.33,26
295,1989-08-01,14.35,44
296,1989-09-01,14.37,39
297,1989-10-01,14.32,41
298,1989-11-01,14.21,43
299,1989-12-01,14.37,49
300,1990-01-01,14.4,43
301,1990-02-01,14.41,38
302,1990-03-01,14.76,41
303,1990-04-01,14.55,55
304,1990-05-01,14.46,53
305,1990-06-01,14.38,41
306,1990-07-01,14.43,50
307,1990-08-01,14.3,46
308,1990-09-01,14.3,41
309,1990-10-01,14.42,29
310,1990-11-01,14.46,38
311,1990-12-01,14.42,53
312,1991-01-01,14.42,42
313,1991-02-01,14.5,31
314,1991-03-01,14.35,32
315,1991-04-01,14.52,44
316,1991-05-01,14.39,34
317,1991-06-01,14.54,36
318,1991-07-01,14.51,33
319,1991-08-01,14.42,36
320,1991-09-01,14.5,22
321,1991-10-01,14.32,34
322,1991-11-01,14.31,31
