,date,count,temperatureChange,temperature
0,1965-01-01,13,-0.09,13.91
1,1965-02-01,54,-0.17,13.83
2,1965-03-01,38,-0.11,13.89
3,1965-04-01,33,-0.19,13.81
4,1965-05-01,22,-0.14,13.86
5,1965-06-01,32,-0.08,13.92
6,1965-07-01,21,-0.12,13.88
7,1965-08-01,34,-0.01,13.99
8,1965-09-01,28,-0.15,13.85
9,1965-10-01,17,-0.04,13.96
10,1965-11-01,27,-0.06,13.94
11,1965-12-01,20,-0.05,13.95
12,1966-01-01,12,-0.16,13.84
13,1966-02-01,27,0.0,14.0
14,1966-03-01,23,0.04,14.04
15,1966-04-01,21,-0.13,13.87
16,1966-05-01,22,-0.1,13.9
17,1966-06-01,27,0.01,14.01
18,1966-07-01,12,0.08,14.08
19,1966-08-01,35,-0.1,13.9
20,1966-09-01,12,-0.01,13.99
21,1966-10-01,13,-0.15,13.85
22,1966-11-01,13,-0.02,13.98
23,1966-12-01,17,-0.06,13.94
24,1967-01-01,36,-0.06,13.94
25,1967-02-01,18,-0.2,13.8
26,1967-03-01,23,0.04,14.04
27,1967-04-01,19,-0.05,13.95
28,1967-05-01,12,0.14,14.14
29,1967-06-01,22,-0.09,13.91
30,1967-07-01,15,0.01,14.01
31,1967-08-01,24,0.02,14.02
32,1967-09-01,24,-0.04,13.96
33,1967-10-01,17,0.06,14.06
34,1967-11-01,27,-0.06,13.94
35,1967-12-01,18,-0.02,13.98
36,1968-01-01,23,-0.23,13.77
37,1968-02-01,20,-0.15,13.85
38,1968-03-01,16,0.2,14.2
39,1968-04-01,13,-0.05,13.95
40,1968-05-01,49,-0.1,13.9
41,1968-06-01,31,-0.06,13.94
42,1968-07-01,23,-0.11,13.89
43,1968-08-01,40,-0.11,13.89
44,1968-09-01,26,-0.18,13.82
45,1968-10-01,24,0.12,14.12
46,1968-11-01,19,-0.04,13.96
47,1968-12-01,21,-0.14,13.86
48,1969-01-01,26,-0.11,13.89
49,1969-02-01,21,-0.14,13.86
50,1969-03-01,30,0.0,14.0
51,1969-04-01,31,0.19,14.19
52,1969-05-01,17,0.2,14.2
53,1969-06-01,18,0.05,14.05
54,1969-07-01,22,-0.01,13.99
55,1969-08-01,62,0.03,14.03
56,1969-09-01,37,0.1,14.1
57,1969-10-01,24,0.11,14.11
58,1969-11-01,14,0.11,14.11
59,1969-12-01,21,0.27,14.27
60,1970-01-01,25,0.09,14.09
61,1970-02-01,33,0.22,14.22
62,1970-03-01,26,0.07,14.07
63,1970-04-01,42,0.09,14.09
64,1970-05-01,27,-0.05,13.95
65,1970-06-01,33,-0.03,13.97
66,1970-07-01,22,-0.04,13.96
67,1970-08-01,27,-0.11,13.89
68,1970-09-01,19,0.11,14.11
69,1970-10-01,22,0.05,14.05
70,1970-11-01,33,0.01,14.01
71,1970-12-01,36,-0.13,13.87
72,1971-01-01,34,-0.03,13.97
73,1971-02-01,28,-0.21,13.79
74,1971-03-01,28,-0.18,13.82
75,1971-04-01,26,-0.09,13.91
76,1971-05-01,36,-0.06,13.94
77,1971-06-01,18,-0.18,13.82
78,1971-07-01,64,-0.12,13.88
79,1971-08-01,36,-0.04,13.96
80,1971-09-01,39,-0.01,13.99
81,1971-10-01,34,-0.06,13.94
